symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ERIE,2025-07-01 14:09:00+00:00,345.07,345.07,345.07,345.07,198.0,4.0,345.07
ERIE,2025-07-01 14:18:00+00:00,345.35,345.35,345.35,345.35,101.0,1.0,345.35
ERIE,2025-07-01 14:30:00+00:00,346.57,346.575,346.57,346.575,342.0,6.0,346.573333
ERIE,2025-07-01 15:33:00+00:00,351.135,351.135,351.135,351.135,177.0,3.0,351.135
ERIE,2025-07-01 16:04:00+00:00,353.575,353.575,353.575,353.575,100.0,1.0,353.575
ERIE,2025-07-01 16:20:00+00:00,351.28,351.28,351.28,351.28,218.0,9.0,351.28
ERIE,2025-07-01 16:22:00+00:00,350.295,350.295,350.295,350.295,105.0,2.0,350.295
ERIE,2025-07-01 16:23:00+00:00,351.41,351.41,351.41,351.41,403.0,15.0,351.41
ERIE,2025-07-01 16:50:00+00:00,352.04,352.04,352.04,352.04,201.0,5.0,352.04
ERIE,2025-07-01 17:13:00+00:00,350.37,350.37,350.37,350.37,101.0,2.0,350.37
ERIE,2025-07-01 18:04:00+00:00,352.76,352.76,352.76,352.76,100.0,1.0,352.76
ERIE,2025-07-01 18:46:00+00:00,353.64,353.64,353.64,353.64,462.0,20.0,353.64
ERIE,2025-07-01 19:00:00+00:00,353.6,353.6,353.6,353.6,109.0,3.0,353.6
ERIE,2025-07-01 19:05:00+00:00,353.75,353.75,353.75,353.75,181.0,3.0,353.75
ERIE,2025-07-01 19:06:00+00:00,353.95,353.95,353.95,353.95,209.0,14.0,353.95
ERIE,2025-07-01 19:10:00+00:00,354.11,354.11,354.11,354.11,256.0,8.0,354.11
ERIE,2025-07-01 19:13:00+00:00,353.68,353.68,353.68,353.68,100.0,1.0,353.68
ERIE,2025-07-01 19:40:00+00:00,353.08,353.09,353.08,353.085,386.0,18.0,353.085
ERIE,2025-07-01 19:44:00+00:00,353.38,353.38,353.38,353.38,102.0,3.0,353.38
ERIE,2025-07-01 19:52:00+00:00,353.49,353.49,353.49,353.49,115.0,4.0,353.49
ERIE,2025-07-01 19:54:00+00:00,353.61,353.61,353.61,353.61,531.0,18.0,353.61
ERIE,2025-07-01 19:58:00+00:00,352.7,352.7,352.7,352.7,146.0,12.0,352.7
